,ID,ID_ORIGINAL,Gender,Portuguese_Citizenship,Age,Frequent_Traveler,Cellphone_Usage,Household_Size,JournalReader,Satisfaction_Level,Occupation,Political_Participation,Social_Person,Area_Residence,Household_Income
0,1000,467329,Female,No,40,Yes,Low,1.0,1,4.0,Government,Strong involvement,No,City,7000
1,1001,461212,Female,No,30,No,High,6.0,0,1.0,Nothing,Strong involvement,No,City,19610
2,1002,466216,Male,No,29,No,High,4.0,0,1.0,Private company,No involvement,Yes,Country-side,8261
3,1003,462613,Female,Yes,35,No,Low,5.0,0,1.0,Private company,Strong involvement,Yes,Country-side,7000
4,1004,465709,Male,Yes,68,Yes,Average,2.0,1,4.0,Private company,No involvement,No,City,8261
5,1005,466716,Female,Yes,79,Yes,Low,1.0,1,8.0,Self-employed,Strong involvement,No,City,8261
6,1006,466512,Female,No,22,No,High,2.0,0,2.0,Private company,Some involvement,No,City,8261
7,1007,466144,Female,Yes,48,No,Low,,1,,Private company,Unknown,,,7000
8,1008,466799,Female,No,19,No,High,3.0,0,1.0,Private company,Some involvement,No,City,9522
9,1009,465043,Male,Yes,48,Yes,Average,5.0,1,1.0,Government,Strong involvement,No,City,18349
10,1010,465319,Male,No,19,No,High,5.0,0,1.0,Private company,Some involvement,No,City,7000
11,1011,459662,Male,Yes,51,Yes,Average,5.0,0,2.0,Private company,No involvement,Yes,City,7000
12,1012,466561,Female,No,19,No,High,3.0,0,1.0,Private company,Some involvement,No,City,10783
13,1013,459590,Male,Yes,22,No,Average,3.0,0,1.0,Public company,Strong involvement,No,City,8261
14,1014,460794,Female,Yes,39,Yes,High,1.0,0,4.0,Nothing,Strong involvement,No,City,18349
15,1015,459413,Female,Yes,83,Yes,Average,2.0,0,5.0,Private company,Unknown,No,City,7000
16,1016,464921,Male,Yes,35,No,Average,5.0,1,1.0,Government,Strong involvement,Yes,Country-side,7000
17,1017,464875,Male,Yes,42,No,Low,2.0,1,3.0,Private company,No involvement,Yes,Country-side,8261
18,1018,459133,Male,No,23,No,High,3.0,0,1.0,Private company,No involvement,Yes,Country-side,8261
19,1019,462226,Male,Yes,26,No,High,4.0,0,1.0,Private company,Unknown,Yes,Country-side,15827
20,1020,462844,Female,Yes,30,No,Low,2.0,0,2.0,Private company,Strong involvement,No,City,7000
21,1021,463163,Male,No,26,No,High,2.0,0,2.0,Public company,Strong involvement,Yes,City,9522
